No. of threads,Ground Template (s), Boundary Distance (s)
1,4.00E+00,3.43E+01
2,3.46E+00,1.71E+01
4,2.76E+00,8.57E+00
8,2.34E+00,4.29E+00
16,2.20E+00,2.16E+00
32,2.16E+00,1.09E+00
64,2.20E+00,5.55E-01
65,2.20E+00,5.47E-01
66,2.20E+00,5.37E-01
67,2.20E+00,5.29E-01
68,2.21E+00,5.22E-01
