# A	slope	intercept	r_square	r_value	p_value	std_err
3.525635064209759584e+00	-1.232227295098974329e-01	1.260060580096863614e+00	8.237995207043146140e-01	-9.076340235493128850e-01	1.131800624249555286e-04	1.899600805898713288e-02
3.393760986367272636e+01	-9.901439989329973157e-01	3.524523834924206511e+00	9.999830992512636074e-01	-9.999915495899270867e-01	8.676794157569066981e-23	1.356855962637519954e-03
